,road,id,model_type,name,lat,lon,length,condition,length_class
661,N1,LRP346ar,link,road330,21.608485095275853,92.06548628939996,1823.6999999999714,-,-
662,N1,LRP348a,bridge,FULCHARI CULVERT,21.5985935301507,92.061801241206,9.3,A,S
663,N1,LRP348ar,link,road331,21.5973336137464,92.06160539103485,426.70000000003546,-,-
664,N1,LRP348b,bridge,FULCHARI BAZAR,21.5960736973421,92.0614095408637,14.0,A,M
665,N1,LRP348br,link,road332,21.59275233568085,92.06222044592205,562.9999999999982,-,-
666,N1,LRP349a,bridge,NAPITE KHALI CULVERT,21.5894309740196,92.0630313509804,1.4,A,S
667,N1,LRP349ar,link,road333,21.5885168870098,92.0639680683473,519.5999999999582,-,-
668,N1,LRP349b,bridge,NAPITE KHALI,21.5876028,92.0649047857142,4.5,C,S
669,N1,LRP349br,link,road334,21.58533846251705,92.0653103161129,527.5000000000391,-,-
670,N1,LRP350a,bridge,EAST NAPITL KHAL BOX CULVERT,21.5830741250341,92.0657158465116,2.5,A,S
671,N1,LRP350ar,link,road335,21.578740820662098,92.06823025886814,1042.499999999959,-,-
672,N1,LRP351a,bridge,NAEK KHALI BOX CULVERT,21.5744075162901,92.0707446712247,12.4,A,M
673,N1,LRP351ar,link,road336,21.56836384258945,92.0702792982049,1509.600000000048,-,-
674,N1,LRP352a,bridge,KHODIA BARI PRIMARY BOX CULVERT,21.5623201688888,92.0698139251851,9.5,A,S
675,N1,LRP352ar,link,road337,21.5613122142031,92.06948076259255,246.4999999999718,-,-
676,N1,LRP353a,bridge,ISLAMABAD KHODIABARI BOX CULVERT,21.5603042595174,92.0691476,4.8,A,S
677,N1,LRP353ar,link,road338,21.5598967553619,92.06904785,109.1999999999759,-,-
678,N1,LRP353b,bridge,ISLAMABAD KHODIA BARI BOX CULVERT,21.5594892512064,92.0689481,7.0,A,S
679,N1,LRP353br,link,road339,21.557457431725602,92.0684492122449,626.0000000000382,-,-
